TimeStamp;P_HOME;temperature;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6
2025-05-28 19:00:00;-1960.0;10.7;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 20:00:00;-1960.0;9.6;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 21:00:00;-1720.287833333333;9.4;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 22:00:00;-1063.6135;9.0;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-28 23:00:00;-643.2831666666667;9.1;False;True;False;False;False;False;False;True;False;False;False;False
2025-05-29 00:00:00;-778.1721666666667;9.0;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 01:00:00;-737.6889166666666;8.9;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 02:00:00;-748.0;8.7;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 03:00:00;-748.0;8.4;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 04:00:00;-748.0;8.4;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 05:00:00;-1399.68175;7.9;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 06:00:00;-1482.3511666666666;7.7;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 07:00:00;-1123.2204166666668;7.3;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 08:00:00;-842.2558333333333;7.7;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 09:00:00;-276.05833333333334;8.4;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 10:00:00;-264.0;9.1;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 11:00:00;-264.0;9.4;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 12:00:00;-264.0;11.0;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 13:00:00;-732.692;11.8;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 14:00:00;-527.0228333333333;11.7;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 15:00:00;-489.52983333333333;12.4;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 16:00:00;-398.3325;11.9;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 17:00:00;-641.959;11.6;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 18:00:00;-901.5459166666666;11.2;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 19:00:00;-843.69175;10.4;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 20:00:00;-775.8859166666666;9.1;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 21:00:00;-336.97125;9.0;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 22:00:00;-334.0;9.4;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-29 23:00:00;-334.0;9.5;False;False;True;False;False;False;False;False;True;False;False;False
2025-05-30 00:00:00;-1091.6025833333333;9.4;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 01:00:00;-1470.20875;9.1;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 02:00:00;-1735.12625;9.1;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 03:00:00;-1324.883;8.9;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 04:00:00;-1322.8693333333333;8.9;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 05:00:00;-562.931;8.6;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 06:00:00;-560.0;8.9;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 07:00:00;-560.0;9.1;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 08:00:00;-560.0;9.7;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 09:00:00;-1093.6099166666665;11.7;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 10:00:00;-663.8033333333333;13.4;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 11:00:00;-918.6390833333334;14.1;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 12:00:00;-698.1759166666667;15.9;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 13:00:00;-311.57475;16.8;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 14:00:00;-358.42083333333335;17.8;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 15:00:00;-472.8833333333334;18.2;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 16:00:00;-379.57116666666667;18.3;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 17:00:00;-1794.8384999999998;18.0;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 18:00:00;-1215.2727499999999;17.5;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 19:00:00;-506.44041666666664;15.9;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 20:00:00;-785.23375;14.1;False;False;False;True;False;False;False;False;False;True;False;False
