date;forecast;actual;weather_combo
2026-02-18 20:00:00;3534.8993342125596;4988.140666666666;['temperature', 'wind_speed', 'pressure']
2026-02-18 21:00:00;2971.150489224638;3943.082;['temperature', 'wind_speed', 'pressure']
2026-02-18 22:00:00;3045.471284247061;3280.73875;['temperature', 'wind_speed', 'pressure']
2026-02-18 23:00:00;3204.897727676078;4189.85225;['temperature', 'wind_speed', 'pressure']
2026-02-19 00:00:00;3597.0862007167566;3798.69625;['temperature', 'wind_speed', 'pressure']
2026-02-19 01:00:00;3456.823707145116;3470.1565;['temperature', 'wind_speed', 'pressure']
2026-02-19 02:00:00;3126.5440151036805;3887.978;['temperature', 'wind_speed', 'pressure']
2026-02-19 03:00:00;2735.327510194754;3463.55225;['temperature', 'wind_speed', 'pressure']
2026-02-19 04:00:00;3019.059345387396;3694.54025;['temperature', 'wind_speed', 'pressure']
2026-02-19 05:00:00;3016.1327034342826;4024.671;['temperature', 'wind_speed', 'pressure']
2026-02-19 06:00:00;3143.935628932692;3976.81075;['temperature', 'wind_speed', 'pressure']
2026-02-19 07:00:00;3803.5991295568615;4254.63175;['temperature', 'wind_speed', 'pressure']
2026-02-19 08:00:00;4024.2079038904085;5451.65625;['temperature', 'wind_speed', 'pressure']
2026-02-19 09:00:00;4973.649852360601;4617.72725;['temperature', 'wind_speed', 'pressure']
2026-02-19 10:00:00;2934.3404713591135;4048.07275;['temperature', 'wind_speed', 'pressure']
2026-02-19 11:00:00;3205.0015630989556;4006.33275;['temperature', 'wind_speed', 'pressure']
2026-02-19 12:00:00;3244.335084869808;2886.07425;['temperature', 'wind_speed', 'pressure']
2026-02-19 13:00:00;3171.8089998659793;3151.84075;['temperature', 'wind_speed', 'pressure']
2026-02-19 14:00:00;3932.6657740678;2118.81075;['temperature', 'wind_speed', 'pressure']
2026-02-19 15:00:00;3295.155416009061;2872.442;['temperature', 'wind_speed', 'pressure']
2026-02-19 16:00:00;3365.6804210149044;3774.00675;['temperature', 'wind_speed', 'pressure']
2026-02-19 17:00:00;4289.108082460443;5136.79725;['temperature', 'wind_speed', 'pressure']
2026-02-19 18:00:00;5790.343668849477;5757.4375;['temperature', 'wind_speed', 'pressure']
2026-02-19 19:00:00;3197.5399164521714;2808.28475;['temperature', 'wind_speed', 'pressure']
2026-02-19 20:00:00;4601.271614682723;4316.30025;['temperature', 'wind_speed', 'pressure']
2026-02-19 21:00:00;3535.6145943911297;4116.61075;['temperature', 'wind_speed', 'pressure']
2026-02-19 22:00:00;3130.666938244294;3227.96925;['temperature', 'wind_speed', 'pressure']
2026-02-19 23:00:00;3500.243716854248;3393.52525;['temperature', 'wind_speed', 'pressure']
2026-02-20 00:00:00;3564.3434766991722;3867.99625;['temperature', 'wind_speed', 'pressure']
2026-02-20 01:00:00;3586.5006931264384;3100.64225;['temperature', 'wind_speed', 'pressure']
2026-02-20 02:00:00;3398.6086802656296;2828.1715;['temperature', 'wind_speed', 'pressure']
2026-02-20 03:00:00;2999.119220122875;4158.9235;['temperature', 'wind_speed', 'pressure']
2026-02-20 04:00:00;3380.3576542844658;3933.11075;['temperature', 'wind_speed', 'pressure']
2026-02-20 05:00:00;3667.496647846045;3965.08175;['temperature', 'wind_speed', 'pressure']
